Ensembl_Gene_ID	Gene_Symbol	log2FC_DeSeq	p_DeSeq	padj_DeSeq	log2FC_edge	p_edge	padj_edge
ENSG00000272016	RP11-215G15.5	0,8452694137	3,28E-13	2,01E-11	0,8117914573	1,13E-12	8,17E-11
ENSG00000151014	CCRN4L	1,0704282914	1,96E-24	2,25E-22	1,0379114203	3,56E-24	5,36E-22
ENSG00000142961	MOB3C	1,0216448909	2,11E-16	1,60E-14	0,997961002	3,26E-15	2,82E-13
ENSG00000171236	LRG1	1,9828503818	1,30E-12	7,54E-11	2,3435370548	1,70E-15	1,49E-13
ENSG00000122861	PLAU	0,9552348921	5,97E-48	1,35E-45	0,9088760584	8,82E-30	1,62E-27
ENSG00000127191	TRAF2	0,7956672506	4,20E-17	3,26E-15	0,7563313941	4,45E-16	4,11E-14
ENSG00000175592	FOSL1	0,899465962	5,84E-87	3,04E-84	0,850193167	1,53E-30	2,88E-28
ENSG00000136842	TMOD1	1,9335525844	9,42E-15	6,43E-13	2,1656895527	6,25E-17	6,25E-15
ENSG00000111801	BTN3A3	0,8818166526	4,52E-27	5,80E-25	0,8389416662	3,24E-19	3,70E-17
ENSG00000048052	HDAC9	2,0398249416	6,45E-28	8,59E-26	2,129043477	5,04E-34	1,07E-31
ENSG00000145911	N4BP3	1,4736204651	9,25E-22	9,46E-20	1,4898252251	2,52E-29	4,48E-27
ENSG00000127472	PLA2G5	2,5627105791	2,66E-13	1,65E-11	4,2086612089	3,06E-17	3,10E-15
ENSG00000146374	RSPO3	1,1802878152	3,23E-38	5,96E-36	1,1440299676	8,21E-33	1,67E-30
ENSG00000165659	DACH1	-1,4258126144	1,41E-17	1,14E-15	-1,5561758479	7,59E-30	1,40E-27
ENSG00000213443	RP11-75L1.2	1,9346777671	2,34E-11	1,24E-09	2,3331573508	7,07E-14	5,62E-12
ENSG00000162009	SSTR5	-1,9847178768	5,21E-10	2,45E-08	-2,7085099871	2,12E-13	1,63E-11
ENSG00000176697	BDNF	-0,9718348646	3,71E-13	2,28E-11	-1,0585506837	4,57E-16	4,21E-14
ENSG00000134531	EMP1	-0,3561960126	1,41E-16	1,08E-14	-0,4110928344	1,93E-09	1,04E-07
ENSG00000064932	SBNO2	0,8052672199	1,36E-43	2,82E-41	0,7580102147	9,23E-22	1,19E-19
ENSG00000103241	FOXF1	1,0010150474	1,20E-20	1,16E-18	0,9686198954	2,33E-16	2,24E-14
ENSG00000111859	NEDD9	0,9548654601	3,22E-25	3,85E-23	0,9160581572	1,69E-26	2,83E-24
ENSG00000109079	TNFAIP1	0,9863070141	6,15E-77	2,56E-74	0,9377237493	1,37E-36	3,27E-34
ENSG00000081059	TCF7	0,7490770725	4,34E-13	2,63E-11	0,7092656194	3,96E-10	2,27E-08
ENSG00000171246	NPTX1	1,5437755562	2,23E-09	9,67E-08	1,7377387028	1,22E-11	8,01E-10
ENSG00000204264	PSMB8	0,7194776653	2,38E-26	3,00E-24	0,6716991695	1,59E-15	1,41E-13
ENSG00000106688	SLC1A1	-0,7281145592	5,26E-28	7,10E-26	-0,7863595313	2,43E-22	3,27E-20
ENSG00000034152	MAP2K3	0,6919322766	3,75E-46	8,30E-44	0,6419097183	1,11E-17	1,18E-15
ENSG00000125089	SH3TC1	0,769932674	2,49E-18	2,13E-16	0,7289249819	3,83E-16	3,58E-14
ENSG00000073849	ST6GAL1	1,2939908055	2,78E-60	8,68E-58	1,2554852844	1,42E-52	5,09E-50
ENSG00000100911	PSME2	0,7521802549	9,04E-17	6,98E-15	0,7116652869	4,03E-15	3,45E-13
ENSG00000134470	IL15RA	1,14266567	1,46E-50	3,65E-48	1,102594557	1,21E-34	2,61E-32
ENSG00000145777	TSLP	1,9455918704	1,21E-10	5,98E-09	2,4138779529	5,47E-13	4,04E-11
ENSG00000204682	CASC10	1,4969680253	2,35E-21	2,36E-19	1,5144410531	8,14E-22	1,06E-19
ENSG00000095739	BAMBI	-0,7256220657	7,47E-10	3,45E-08	-0,7977061864	2,09E-11	1,35E-09
ENSG00000013297	CLDN11	0,5132607014	3,04E-101	1,76E-98	0,4607939704	4,26E-12	2,89E-10
ENSG00000132274	TRIM22	0,7284138241	2,45E-54	6,84E-52	0,677227739	1,44E-20	1,77E-18
ENSG00000163932	PRKCD	0,8191968364	1,07E-44	2,30E-42	0,7708216872	1,26E-23	1,82E-21
ENSG00000221869	CEBPD	1,6006399433	3,20E-29	4,54E-27	1,608895375	1,05E-29	1,93E-27
ENSG00000185361	TNFAIP8L1	0,7771918437	1,53E-50	3,78E-48	0,7285886419	1,39E-21	1,78E-19
ENSG00000170689	HOXB9	1,7378248722	3,19E-17	2,51E-15	1,8396661331	4,34E-21	5,44E-19
ENSG00000197646	PDCD1LG2	1,039447671	7,18E-15	4,96E-13	1,0196899604	1,21E-17	1,28E-15
ENSG00000164116	GUCY1A3	2,0378162841	4,65E-11	2,42E-09	2,6004545429	4,70E-14	3,78E-12
ENSG00000184545	DUSP8	1,4677431444	6,70E-26	8,26E-24	1,4675244694	1,17E-23	1,71E-21
ENSG00000117707	PROX1	-1,1344720203	4,50E-11	2,34E-09	-1,2550165503	4,12E-19	4,69E-17
ENSG00000137767	SQRDL	1,1277151472	1,62E-13	1,03E-11	1,1255236894	1,74E-17	1,82E-15
ENSG00000071282	LMCD1	-0,8381025313	3,12E-13	1,92E-11	-0,9118384423	4,52E-14	3,65E-12
ENSG00000117525	F3	1,141484366	1,69E-08	6,68E-07	1,1822992014	5,09E-09	2,58E-07
ENSG00000127666	TICAM1	0,8478089211	4,29E-22	4,43E-20	0,8064954922	2,30E-18	2,55E-16
ENSG00000107968	MAP3K8	1,4061387971	6,57E-23	7,09E-21	1,4073405226	1,57E-22	2,13E-20
ENSG00000165685	TMEM52B	2,2255052244	1,75E-11	9,39E-10	3,0865735935	4,16E-15	3,56E-13
ENSG00000126603	GLIS2	0,8169098006	1,08E-12	6,28E-11	0,7834594541	7,02E-12	4,71E-10
ENSG00000143067	ZNF697	1,0599109702	5,52E-41	1,08E-38	1,0177442557	9,12E-35	2,00E-32
ENSG00000100403	ZC3H7B	1,0071657118	1,99E-50	4,86E-48	0,9618781013	9,95E-38	2,45E-35
ENSG00000149798	CDC42EP2	0,824286723	2,58E-26	3,25E-24	0,7806369468	6,07E-18	6,51E-16
ENSG00000169621	APLF	1,4850835236	3,00E-26	3,76E-24	1,4855907744	8,43E-25	1,31E-22
ENSG00000206503	HLA-A	0,9702526307	5,86E-24	6,63E-22	0,9350131142	9,76E-24	1,44E-21
ENSG00000113645	WWC1	1,9821211945	1,91E-13	1,20E-11	2,2937570194	1,01E-16	9,89E-15
ENSG00000099250	NRP1	-0,4477085014	1,03E-15	7,54E-14	-0,5037267432	1,62E-12	1,16E-10
ENSG00000163719	MTMR14	0,6167900075	1,27E-25	1,54E-23	0,5675343136	4,16E-13	3,10E-11
ENSG00000107821	KAZALD1	-1,2584175063	2,48E-09	1,07E-07	-1,4290087006	1,23E-11	8,07E-10
ENSG00000070404	FSTL3	1,1367843405	1,41E-32	2,25E-30	1,1027505315	2,76E-29	4,87E-27
ENSG00000187210	GCNT1	-0,810283335	6,19E-49	1,44E-46	-0,8686522938	4,71E-31	9,12E-29
ENSG00000133069	TMCC2	1,0655224354	2,65E-18	2,26E-16	1,0413789794	1,68E-16	1,62E-14
ENSG00000131409	LRRC4B	1,2286120575	5,75E-09	2,39E-07	1,2931498234	1,18E-10	7,13E-09
ENSG00000154451	GBP5	1,9943858201	1,17E-09	5,29E-08	2,7013678594	1,83E-12	1,29E-10
ENSG00000166394	CYB5R2	0,7721699116	5,04E-15	3,52E-13	0,7332646196	3,05E-12	2,09E-10
ENSG00000135114	OASL	1,7588781843	7,95E-09	3,25E-07	2,1951538388	4,01E-11	2,55E-09
ENSG00000100342	APOL1	1,2531146501	2,81E-41	5,63E-39	1,220028965	1,77E-35	3,93E-33
ENSG00000228536	RP11-392O17.1	1,8133355599	2,65E-07	9,08E-06	2,7825337115	1,93E-09	1,04E-07
ENSG00000167034	NKX3-1	1,3288960894	1,10E-13	7,08E-12	1,3585205916	2,32E-14	1,89E-12
ENSG00000185507	IRF7	0,8215554813	1,69E-07	5,94E-06	0,8084085248	4,12E-08	1,85E-06
ENSG00000082641	NFE2L1	0,4163030777	8,77E-15	6,01E-13	0,3652826186	2,25E-07	8,90E-06
ENSG00000187123	LYPD6	1,0651175069	6,52E-26	8,07E-24	1,0308782093	3,26E-25	5,18E-23
ENSG00000174059	CD34	1,1398279446	3,78E-27	4,88E-25	1,1102344592	7,81E-27	1,33E-24
ENSG00000178719	GRINA	0,8827381902	5,03E-32	7,80E-30	0,8396601415	7,97E-24	1,19E-21
ENSG00000104213	PDGFRL	0,7157193805	6,25E-09	2,58E-07	0,6828700248	1,96E-08	9,17E-07
ENSG00000149115	TNKS1BP1	0,7937837166	1,57E-44	3,35E-42	0,7459528472	8,49E-22	1,10E-19
ENSG00000105499	PLA2G4C	1,3700834848	2,18E-26	2,77E-24	1,3580795546	2,24E-23	3,20E-21
ENSG00000136048	DRAM1	0,7920643285	6,34E-77	2,60E-74	0,7409353033	1,66E-24	2,52E-22
ENSG00000105327	BBC3	0,7675324719	8,93E-18	7,49E-16	0,7261708499	7,85E-16	7,13E-14
ENSG00000125726	CD70	1,7425657502	2,95E-06	8,59E-05	6,1411549057	4,39E-09	2,26E-07
ENSG00000136052	SLC41A2	1,4333499044	8,49E-35	1,47E-32	1,4157227919	2,37E-40	6,38E-38
ENSG00000151883	PARP8	1,8613129101	1,10E-08	4,40E-07	2,4975836849	2,04E-11	1,31E-09
ENSG00000102802	MEDAG	-0,8347438802	1,41E-13	8,96E-12	-0,9069167651	6,00E-18	6,46E-16
ENSG00000161791	FMNL3	0,9264673265	7,14E-23	7,69E-21	0,8876008674	1,60E-24	2,45E-22
ENSG00000235505	RP11-693N9.2	1,3469892112	1,36E-24	1,58E-22	1,3375439579	6,56E-22	8,63E-20
ENSG00000166592	RRAD	1,8483589963	7,85E-10	3,61E-08	2,2813391338	1,28E-11	8,41E-10
ENSG00000011132	APBA3	0,8930821001	3,39E-32	5,39E-30	0,8498271597	3,31E-21	4,18E-19
ENSG00000152778	IFIT5	0,8207268163	3,50E-12	1,97E-10	0,788230332	2,76E-12	1,91E-10
ENSG00000146021	KLHL3	-1,0959705015	1,89E-17	1,52E-15	-1,1835895681	1,63E-20	1,97E-18
ENSG00000186918	ZNF395	-0,773292348	2,22E-10	1,07E-08	-0,8474414144	5,73E-13	4,22E-11
ENSG00000141384	TAF4B	1,0718802506	3,44E-12	1,94E-10	1,0663419997	7,55E-15	6,33E-13
ENSG00000261618	RP11-79H23.3	1,7194142734	3,90E-06	0,000111843	6,1379496776	6,43E-09	3,21E-07
ENSG00000176170	SPHK1	0,7314903002	6,03E-31	9,00E-29	0,6840743548	9,03E-18	9,65E-16
ENSG00000178764	ZHX2	0,6840384425	1,30E-09	5,84E-08	0,646055016	3,32E-08	1,50E-06
ENSG00000131323	TRAF3	1,0328139684	2,97E-31	4,45E-29	0,9936331075	1,50E-31	2,96E-29
ENSG00000111077	TENC1	-0,7990934352	1,90E-35	3,36E-33	-0,8569865373	1,32E-26	2,22E-24
ENSG00000108688	CCL7	2,0336815446	1,08E-08	4,36E-07	3,2634690098	5,88E-11	3,64E-09
ENSG00000185972	CCIN	1,3572832565	8,08E-13	4,77E-11	1,4017678544	6,24E-14	4,99E-12
ENSG00000171056	SOX7	0,5668602413	4,64E-29	6,55E-27	0,5167198577	1,05E-11	6,95E-10
ENSG00000173114	LRRN3	1,6915936882	6,09E-06	0,0001683766	4,3283970118	3,29E-08	1,49E-06
ENSG00000157368	IL34	2,1660436322	7,01E-10	3,25E-08	3,3547659657	8,97E-13	6,53E-11
ENSG00000104903	LYL1	-0,7808964197	6,24E-23	6,76E-21	-0,8418136115	3,07E-22	4,07E-20
ENSG00000019582	CD74	2,2064296838	2,08E-11	1,11E-09	3,0129058195	4,82E-15	4,08E-13
ENSG00000105974	CAV1	0,3451920881	7,83E-19	6,92E-17	0,2932091817	9,21E-06	0,0002734463
ENSG00000060982	BCAT1	-0,3231654192	1,07E-07	3,83E-06	-0,3791961842	1,23E-07	5,09E-06
ENSG00000140105	WARS	0,4199718572	1,99E-24	2,28E-22	0,3678696708	1,29E-07	5,30E-06
ENSG00000185862	EVI2B	-0,7076679534	1,25E-11	6,76E-10	-0,7751849257	7,67E-13	5,63E-11
ENSG00000230024	RP11-95P13.1	1,7285858568	4,09E-08	1,55E-06	2,2114928759	2,92E-10	1,70E-08
ENSG00000205683	DPF3	0,9303296416	1,10E-42	2,26E-40	0,885344948	6,79E-25	1,06E-22
ENSG00000117298	ECE1	0,3674869104	5,60E-19	4,98E-17	0,3157266591	3,07E-06	0,0001015302
ENSG00000167657	DAPK3	0,6902027415	1,08E-26	1,39E-24	0,6431442219	2,12E-15	1,85E-13
ENSG00000137491	SLCO2B1	1,6746650937	7,51E-06	0,0002040646	4,3274368507	4,19E-08	1,88E-06
ENSG00000113583	C5orf15	0,5895305846	2,65E-19	2,39E-17	0,5402358913	3,06E-12	2,09E-10
ENSG00000270055	CTD-3092A11.2	0,7999087977	2,83E-27	3,67E-25	0,7554364577	7,81E-19	8,85E-17
ENSG00000131979	GCH1	0,6852163136	1,70E-09	7,48E-08	0,6475915098	2,22E-08	1,03E-06
ENSG00000133110	POSTN	-1,3172986912	1,19E-12	6,90E-11	-1,4607784203	2,54E-16	2,42E-14
ENSG00000258376	RP4-647C14.2	1,0975302724	1,27E-18	1,11E-16	1,0759940117	6,92E-16	6,31E-14
ENSG00000138735	PDE5A	0,7895825474	1,40E-07	4,99E-06	0,7694825617	1,09E-08	5,27E-07
ENSG00000130813	C19orf66	0,7834761414	4,34E-11	2,27E-09	0,7515725796	6,83E-11	4,20E-09
ENSG00000068079	IFI35	0,6611564495	4,75E-09	2,00E-07	0,6235697941	1,17E-07	4,85E-06
ENSG00000103966	EHD4	0,3821615593	2,07E-23	2,29E-21	0,3296977083	1,76E-06	6,09E-05
ENSG00000068323	TFE3	0,6880712564	3,06E-44	6,49E-42	0,6380042855	7,25E-17	7,20E-15
ENSG00000158286	RNF207	1,4637857375	1,77E-24	2,03E-22	1,4669614441	9,13E-24	1,35E-21
ENSG00000185432	METTL7A	-0,6958621487	8,23E-15	5,66E-13	-0,7584393281	1,33E-17	1,40E-15
ENSG00000115525	ST3GAL5	-0,7011183192	5,52E-09	2,30E-07	-0,773362582	2,49E-10	1,46E-08
ENSG00000157214	STEAP2	-0,7556313389	3,75E-17	2,94E-15	-0,8210679404	3,15E-16	2,98E-14
ENSG00000272567	RP11-73K9.3	1,7712289927	8,90E-07	2,83E-05	2,9091368904	8,12E-09	3,98E-07
ENSG00000039560	RAI14	0,2892510544	0,0002517296	0,0048694774	0,2386460603	0,0020376264	0,0294805528
ENSG00000138496	PARP9	0,7550769127	4,47E-20	4,19E-18	0,7105625312	3,91E-17	3,94E-15
ENSG00000137509	PRCP	0,4239766393	2,26E-14	1,53E-12	0,3733976516	4,28E-07	1,63E-05
ENSG00000165449	SLC16A9	1,5811336645	9,19E-08	3,33E-06	1,9129485254	2,60E-09	1,37E-07
ENSG00000119508	NR4A3	1,7241851587	7,55E-07	2,42E-05	2,5623582992	2,34E-08	1,08E-06
ENSG00000135842	FAM129A	1,5397826366	2,03E-39	3,86E-37	1,5252436186	1,45E-50	4,79E-48
ENSG00000110077	MS4A6A	-1,5541994288	1,17E-09	5,26E-08	-1,8461966802	4,31E-13	3,21E-11
ENSG00000071575	TRIB2	-0,6978896154	1,16E-09	5,25E-08	-0,7680150878	4,23E-11	2,68E-09
ENSG00000125845	BMP2	0,7710982623	2,45E-65	8,32E-63	0,7198947357	4,95E-23	6,91E-21
ENSG00000131459	GFPT2	1,0252615647	1,80E-51	4,65E-49	0,9799396691	4,34E-34	9,30E-32
ENSG00000223749	MIR503HG	-0,6729116894	5,04E-05	0,001162963	-0,7622227546	2,06E-07	8,18E-06
ENSG00000110330	BIRC2	1,0006675107	2,33E-51	5,92E-49	0,9547055389	2,68E-36	6,15E-34
ENSG00000066697	MSANTD3	0,5564432264	6,46E-46	1,41E-43	0,5051725739	4,29E-12	2,90E-10
ENSG00000119938	PPP1R3C	-0,7198363245	1,50E-10	7,36E-09	-0,790560028	5,29E-11	3,32E-09
ENSG00000267194	RP1-193H18.2	-1,3443002609	2,98E-11	1,57E-09	-1,5145912925	2,28E-14	1,86E-12
ENSG00000241839	PLEKHO2	0,6583987936	9,25E-18	7,71E-16	0,6124896724	2,15E-13	1,65E-11
ENSG00000175354	PTPN2	0,5956620115	2,62E-22	2,74E-20	0,5466696999	2,50E-12	1,74E-10
ENSG00000134321	RSAD2	1,7269366634	2,37E-06	7,04E-05	3,0393073451	1,92E-08	8,98E-07
ENSG00000106560	GIMAP2	0,585003237	2,09E-09	9,10E-08	0,5431526321	1,76E-08	8,31E-07
ENSG00000136514	RTP4	1,7601567323	1,84E-06	5,56E-05	3,2781934027	3,06E-08	1,39E-06
ENSG00000157191	NECAP2	0,7053034504	2,33E-33	3,81E-31	0,6570089291	2,01E-17	2,09E-15
ENSG00000108771	DHX58	0,7528699731	3,05E-08	1,18E-06	0,7262618335	4,77E-08	2,10E-06
ENSG00000131203	IDO1	1,7756838705	1,51E-06	4,65E-05	3,313005567	2,77E-08	1,27E-06
ENSG00000176720	BOK	0,6047597393	3,03E-41	6,02E-39	0,5544233261	1,35E-13	1,06E-11
ENSG00000165092	ALDH1A1	-0,5555630685	4,75E-41	9,38E-39	-0,6102752384	6,96E-17	6,93E-15
ENSG00000107175	CREB3	0,6601410513	9,92E-21	9,64E-19	0,6136949607	1,14E-13	8,91E-12
ENSG00000161013	MGAT4B	0,426807848	9,22E-11	4,63E-09	0,3780159601	1,55E-06	5,42E-05
ENSG00000158270	COLEC12	0,6261557996	2,68E-16	2,04E-14	0,5806374288	7,41E-12	4,96E-10
ENSG00000230630	DNM3OS	1,3162639564	5,92E-14	3,89E-12	1,3436576553	9,02E-15	7,54E-13
ENSG00000139946	PELI2	-0,5951653553	3,15E-13	1,94E-11	-0,6562976557	9,93E-13	7,19E-11
ENSG00000164761	TNFRSF11B	1,4628258371	1,56E-09	6,93E-08	1,6049742335	5,39E-11	3,37E-09
ENSG00000140511	HAPLN3	0,6588513808	4,34E-12	2,42E-10	0,6176712627	4,24E-11	2,68E-09
ENSG00000157601	MX1	1,3582474403	2,67E-15	1,89E-13	1,385718525	2,58E-18	2,84E-16
ENSG00000187667	WHAMMP3	0,7567867683	7,32E-21	7,18E-19	0,7118853252	2,22E-14	1,82E-12
ENSG00000169247	SH3TC2	-1,2693630343	3,16E-17	2,50E-15	-1,3775589214	7,67E-20	9,15E-18
ENSG00000087085	ACHE	1,697345043	3,12E-07	1,06E-05	2,3032903205	1,18E-08	5,70E-07
ENSG00000064270	ATP2C2	1,5431599352	2,95E-05	0,000711044	5,8492105834	1,04E-07	4,37E-06
ENSG00000106025	TSPAN12	-0,671626434	8,31E-33	1,34E-30	-0,7297859558	2,78E-22	3,70E-20
ENSG00000189077	TMEM120A	0,8316372656	1,63E-13	1,03E-11	0,7993261216	8,08E-14	6,39E-12
ENSG00000152229	PSTPIP2	1,0560538338	2,22E-31	3,38E-29	1,0178085191	4,79E-31	9,22E-29
ENSG00000108960	MMD	0,9191023177	7,10E-42	1,43E-39	0,8727375223	2,04E-26	3,40E-24
ENSG00000185033	SEMA4B	0,5972961981	2,97E-14	1,99E-12	0,5509676379	2,77E-09	1,45E-07
ENSG00000145860	RNF145	0,6035307218	3,30E-49	7,81E-47	0,5526117369	2,84E-14	2,30E-12
ENSG00000141510	TP53	0,6348247185	4,79E-75	1,92E-72	0,5836223107	3,58E-16	3,37E-14
ENSG00000254703	FLI1-AS1	0,5558024983	9,13E-09	3,70E-07	0,5109589003	1,60E-06	5,58E-05
ENSG00000102760	RGCC	-0,7080248982	6,08E-07	1,99E-05	-0,7883086016	6,06E-09	3,06E-07
ENSG00000180398	MCFD2	-0,1691904157	0,0031016423	0,0430121967	-0,2240471439	0,0015944601	0,0242546137
ENSG00000026950	BTN3A1	0,8009997043	2,81E-21	2,81E-19	0,7573201629	2,77E-17	2,84E-15
ENSG00000169241	SLC50A1	0,7236651219	4,14E-16	3,09E-14	0,6818822236	7,78E-14	6,17E-12
ENSG00000135063	FAM189A2	1,1369446106	2,37E-07	8,16E-06	1,2036927804	1,39E-08	6,65E-07
ENSG00000239887	C1orf226	-1,044237629	7,93E-15	5,46E-13	-1,1333569002	1,76E-15	1,54E-13
ENSG00000091428	RAPGEF4	0,6060360609	4,67E-11	2,42E-09	0,5614169527	6,54E-08	2,82E-06
ENSG00000092010	PSME1	0,5859770277	6,01E-17	4,66E-15	0,5388297133	6,50E-11	4,00E-09
ENSG00000178685	PARP10	0,8178792941	2,17E-17	1,74E-15	0,7791408566	1,68E-14	1,38E-12
ENSG00000254429	CTD-2562J17.7	1,0348732883	2,93E-13	1,81E-11	1,0213629125	2,00E-12	1,41E-10
ENSG00000114251	WNT5A	1,2615591313	2,40E-08	9,32E-07	1,3463932478	2,28E-09	1,21E-07
ENSG00000153208	MERTK	-0,6606035217	2,97E-25	3,57E-23	-0,720050417	1,31E-20	1,61E-18
ENSG00000196387	ZNF140	0,5967150736	2,31E-11	1,23E-09	0,5513939185	5,87E-09	2,97E-07
ENSG00000184226	PCDH9	-0,9158374487	1,04E-07	3,75E-06	-1,0236904561	3,30E-13	2,49E-11
ENSG00000260336	RP11-395B7.7	0,8426931255	4,55E-28	6,17E-26	0,7983102781	1,62E-19	1,90E-17
ENSG00000169851	PCDH7	-1,0136095077	4,04E-23	4,40E-21	-1,0872968594	1,03E-32	2,08E-30
ENSG00000165684	SNAPC4	0,7155079668	4,27E-21	4,27E-19	0,6706207964	1,48E-15	1,34E-13
ENSG00000154040	CABYR	0,6081370316	9,80E-10	4,46E-08	0,5656205349	3,72E-07	1,44E-05
ENSG00000112308	C6orf62	0,2962167042	1,31E-15	9,50E-14	0,2436457793	0,0003551746	0,0069131429
ENSG00000139192	TAPBPL	0,6018111804	1,58E-06	4,84E-05	0,5667445465	8,57E-06	0,0002565887
ENSG00000140379	BCL2A1	1,4211497798	2,07E-09	9,02E-08	1,5438987057	1,47E-10	8,83E-09
ENSG00000168917	SLC35G2	0,5090866929	9,79E-13	5,74E-11	0,4594883214	4,66E-08	2,07E-06
ENSG00000206341	HLA-H	1,2907107268	3,84E-06	0,0001102459	1,4951232335	4,77E-08	2,10E-06
ENSG00000149573	MPZL2	-0,5833098499	2,32E-28	3,17E-26	-0,6404164187	3,71E-18	4,03E-16
ENSG00000187513	GJA4	-1,6894646168	2,94E-06	8,58E-05	-2,86539531	2,62E-08	1,21E-06
ENSG00000137486	ARRB1	0,7568481263	3,25E-26	4,05E-24	0,7105729741	2,41E-18	2,66E-16
ENSG00000266978	CTD-2369P2.5	1,5844184207	2,09E-05	0,0005190006	4,4991281388	2,62E-07	1,03E-05
ENSG00000158092	NCK1	0,544263379	3,50E-25	4,17E-23	0,4929676011	2,53E-11	1,62E-09
ENSG00000170293	CMTM8	-0,6834163259	2,20E-08	8,57E-07	-0,7551132753	4,34E-09	2,24E-07
ENSG00000132669	RIN2	0,6766046555	1,48E-16	1,13E-14	0,6314657161	1,73E-13	1,34E-11
ENSG00000174004	NRROS	-1,2818392423	1,06E-12	6,21E-11	-1,4168989681	4,40E-16	4,08E-14
ENSG00000184113	CLDN5	0,6264135758	7,63E-09	3,13E-07	0,5882929437	2,11E-09	1,13E-07
ENSG00000146242	TPBG	0,6278112801	8,33E-08	3,05E-06	0,5897414201	1,05E-06	3,79E-05
ENSG00000184058	TBX1	-0,9024490585	4,00E-17	3,12E-15	-0,9743160556	1,50E-20	1,83E-18
ENSG00000180672	AC007362.1	-0,5384889645	3,01E-10	1,43E-08	-0,5980995445	5,87E-10	3,35E-08
ENSG00000204574	ABCF1	0,6086402459	2,21E-55	6,32E-53	0,5575715625	1,82E-14	1,50E-12
ENSG00000101665	SMAD7	-0,9460210051	5,69E-15	3,96E-13	-1,0259283454	1,69E-15	1,49E-13
ENSG00000166073	GPR176	0,8686289204	1,27E-30	1,88E-28	0,8234207605	1,87E-24	2,84E-22
ENSG00000127528	KLF2	-0,7666958189	5,26E-22	5,40E-20	-0,8281365096	3,04E-19	3,48E-17
ENSG00000138449	SLC40A1	-0,7828766981	6,70E-44	1,40E-41	-0,8416244601	1,39E-29	2,53E-27
ENSG00000184451	CCR10	1,2325496242	3,88E-08	1,47E-06	1,31046161	1,03E-08	4,98E-07
ENSG00000186132	C2orf76	0,657964992	3,68E-08	1,40E-06	0,6220094427	3,61E-07	1,40E-05
ENSG00000078081	LAMP3	0,7946822261	8,23E-14	5,34E-12	0,756716091	3,08E-13	2,33E-11
ENSG00000146678	IGFBP1	-1,0572340501	1,19E-05	0,0003103161	-1,2550237654	7,02E-08	3,00E-06
ENSG00000111331	OAS3	0,9248534381	1,55E-27	2,03E-25	0,8832032615	1,01E-25	1,63E-23
ENSG00000185920	PTCH1	-0,8252636597	2,08E-10	1,00E-08	-0,9051958485	9,83E-13	7,14E-11
ENSG00000158769	F11R	0,4470231805	3,31E-16	2,48E-14	0,3962242269	1,71E-07	6,88E-06
ENSG00000164930	FZD6	0,6893242318	8,98E-23	9,59E-21	0,6415524334	3,71E-16	3,47E-14
ENSG00000148082	SHC3	-0,5931918436	2,08E-09	9,07E-08	-0,6572950554	1,02E-09	5,65E-08
ENSG00000151229	SLC2A13	-0,6649084217	4,19E-06	0,0001195157	-0,7443483158	1,44E-08	6,91E-07
ENSG00000099260	PALMD	-0,6885697905	3,01E-61	9,58E-59	-0,7438599303	6,48E-26	1,06E-23
ENSG00000164283	ESM1	0,7543944789	9,73E-30	1,39E-27	0,7065803967	1,76E-21	2,24E-19
ENSG00000127955	GNAI1	-0,719216018	5,06E-22	5,21E-20	-0,7806626425	2,08E-19	2,42E-17
ENSG00000231574	RP11-91K9.1	1,3927674907	0,0001758675	0,0035702138	3,8701296081	4,92E-06	0,0001556889
ENSG00000176641	RNF152	-0,8081942937	9,03E-15	6,18E-13	-0,8784716091	2,14E-18	2,39E-16
ENSG00000182197	EXT1	0,3972446561	3,84E-25	4,53E-23	0,3445274563	6,39E-07	2,38E-05
ENSG00000150630	VEGFC	0,6262197551	1,11E-31	1,71E-29	0,5764852196	9,98E-14	7,88E-12
ENSG00000117461	PIK3R3	-0,4579636557	2,06E-19	1,89E-17	-0,5140653296	3,14E-12	2,14E-10
ENSG00000171451	DSEL	1,2195835537	1,44E-22	1,52E-20	1,2011803541	2,12E-30	3,96E-28
ENSG00000035664	DAPK2	1,1243192163	9,56E-07	3,03E-05	1,2018923626	2,16E-07	8,57E-06
ENSG00000103642	LACTB	0,4557622671	1,18E-17	9,66E-16	0,4046585416	6,57E-08	2,82E-06
ENSG00000121236	TRIM6	-0,6292827329	2,13E-07	7,38E-06	-0,699619133	1,65E-08	7,84E-07
ENSG00000136367	ZFHX2	1,4376802898	2,04E-08	7,96E-07	1,6076015813	2,07E-09	1,11E-07
ENSG00000268297	CLEC4GP1	-0,9809444145	2,69E-06	7,92E-05	-1,1252913024	1,18E-07	4,89E-06
ENSG00000175573	C11orf68	0,6387605823	1,14E-22	1,21E-20	0,5912191878	1,76E-13	1,36E-11
ENSG00000172159	FRMD3	-1,1813804637	1,08E-28	1,48E-26	-1,2597953567	2,35E-36	5,48E-34
ENSG00000272463	RP11-532F6.3	1,2653496182	3,21E-08	1,23E-06	1,3558414401	4,66E-09	2,38E-07
ENSG00000146278	PNRC1	0,5342070804	1,08E-10	5,40E-09	0,4886655209	1,38E-08	6,65E-07
ENSG00000166455	C16orf46	1,3056945319	1,41E-07	5,02E-06	1,4377885775	2,10E-08	9,75E-07
