Ensembl_Gene_ID	Gene_Symbol	log2FC_DeSeq	p_DeSeq	padj_DeSeq	log2FC_edge	p_edge	padj_edge
ENSG00000205502	C2CD4B	2,8240766389	1,02E-59	3,13E-57	2,9440001323	6,26E-74	3,18E-71
ENSG00000167100	SAMD14	1,968880891	6,92E-82	3,04E-79	1,9532366462	6,55E-69	2,91E-66
ENSG00000113504	SLC12A7	1,5167426114	4,15E-182	4,79E-179	1,4720046424	9,48E-80	5,22E-77
ENSG00000100401	RANGAP1	0,734161048	1,53E-40	2,98E-38	0,6857346473	6,76E-20	8,09E-18
ENSG00000100767	PAPLN	2,3333813694	5,45E-84	2,62E-81	2,3421900636	1,39E-78	7,52E-76
ENSG00000058085	LAMC2	1,5563017335	4,74E-39	8,85E-37	1,5431664983	2,86E-53	1,04E-50
ENSG00000270607	RP11-359E10.1	2,3583292617	4,89E-69	1,73E-66	2,3854036344	1,47E-70	6,72E-68
ENSG00000107201	DDX58	1,5012228853	2,74E-111	1,71E-108	1,4595388552	1,70E-73	8,48E-71
ENSG00000081041	CXCL2	2,7611974874	1,47E-34	2,53E-32	3,0262033543	7,41E-43	2,09E-40
ENSG00000163132	MSX1	2,6841808818	1,16E-59	3,52E-57	2,7761598722	1,29E-66	5,51E-64
ENSG00000028277	POU2F2	2,0455258725	9,06E-66	3,11E-63	2,0466146728	3,97E-65	1,65E-62
ENSG00000050730	TNIP3	2,8821948106	1,24E-32	1,99E-30	3,229329092	1,37E-44	4,10E-42
ENSG00000128335	APOL2	1,5133291773	1,41E-113	8,96E-111	1,473090214	2,09E-70	9,41E-68
ENSG00000237988	OR2I1P	4,4316353562	2,72E-42	5,55E-40	7,8419334093	3,18E-67	1,37E-64
ENSG00000105246	EBI3	3,8838319039	1,60E-39	3,06E-37	5,0935025027	1,23E-59	4,89E-57
ENSG00000124145	SDC4	1,4542665515	3,11E-169	3,13E-166	1,407771963	6,90E-76	3,55E-73
ENSG00000115267	IFIH1	2,6847308482	8,78E-141	7,83E-138	2,6863181071	9,94E-139	1,10E-135
ENSG00000112096	SOD2	1,8279745474	7,10E-257	1,30E-253	1,7840242915	7,44E-121	7,21E-118
ENSG00000126561	STAT5A	1,427767403	1,85E-135	1,48E-132	1,382924375	6,59E-72	3,10E-69
ENSG00000144476	ACKR3	1,5682556483	2,16E-51	5,53E-49	1,5463153496	1,10E-43	3,14E-41
ENSG00000132481	TRIM47	1,8711044796	4,15E-122	3,01E-119	1,8400193127	3,47E-94	2,17E-91
ENSG00000115604	IL18R1	1,8098041608	6,44E-118	4,46E-115	1,7758792324	4,38E-102	3,18E-99
ENSG00000064042	LIMCH1	-1,6143226571	2,49E-58	7,39E-56	-1,697667608	1,06E-57	4,09E-55
ENSG00000075223	SEMA3C	2,429984315	6,61E-28	8,77E-26	2,6428794379	4,87E-34	1,04E-31
ENSG00000271856	RP11-861A13.4	4,0260833288	4,59E-42	9,31E-40	5,3162419344	7,11E-64	2,91E-61
ENSG00000107282	APBA1	-1,3781144614	4,78E-32	7,47E-30	-1,4667390864	1,85E-36	4,38E-34
ENSG00000163131	CTSS	2,6510485899	2,83E-83	1,32E-80	2,6929454478	4,65E-111	3,91E-108
ENSG00000120337	TNFSF18	1,6109282346	1,14E-116	7,58E-114	1,5716255441	8,91E-90	5,48E-87
ENSG00000166387	PPFIBP2	-1,284928174	2,23E-39	4,19E-37	-1,3608246629	7,19E-36	1,62E-33
ENSG00000213859	KCTD11	1,0944359177	1,77E-31	2,71E-29	1,0580714969	1,04E-23	1,52E-21
ENSG00000085831	TTC39A	2,2233698322	6,54E-21	6,50E-19	2,4578133228	9,15E-25	1,41E-22
ENSG00000163513	TGFBR2	0,541670539	1,29E-08	5,13E-07	0,4969789653	3,46E-09	1,81E-07
ENSG00000139174	PRICKLE1	-1,3503872763	3,95E-106	2,32E-103	-1,4142683759	3,02E-73	1,48E-70
ENSG00000184530	C6orf58	3,9068463399	5,88E-34	9,92E-32	6,0201724937	1,58E-51	5,42E-49
ENSG00000179862	CITED4	1,3651743627	3,65E-20	3,44E-18	1,3708051503	1,16E-22	1,59E-20
ENSG00000115008	IL1A	2,4882275271	8,23E-34	1,38E-31	2,6593891142	7,46E-43	2,09E-40
ENSG00000131037	EPS8L1	1,1210947764	3,83E-23	4,19E-21	1,0947789046	4,79E-20	5,76E-18
ENSG00000117228	GBP1	1,2453780727	3,47E-70	1,26E-67	1,2025593197	6,13E-52	2,15E-49
ENSG00000172738	TMEM217	1,9625570674	1,33E-56	3,83E-54	1,9639810453	3,00E-54	1,10E-51
ENSG00000168314	MOBP	2,2620103907	1,55E-22	1,63E-20	2,4845110741	2,38E-26	3,92E-24
ENSG00000134070	IRAK2	2,3232274073	2,55E-190	3,18E-187	2,2955364885	2,08E-141	2,46E-138
ENSG00000198535	C2CD4A	3,4781805788	1,86E-30	2,73E-28	4,577996172	1,20E-40	3,24E-38
ENSG00000163874	ZC3H12A	0,9755709624	4,88E-23	5,30E-21	0,9381369244	1,78E-18	1,98E-16
ENSG00000185291	IL3RA	2,2578306333	2,48E-38	4,60E-36	2,3420467737	8,82E-44	2,54E-41
ENSG00000105639	JAK3	2,3680580759	2,38E-35	4,18E-33	2,495057148	1,52E-41	4,18E-39
ENSG00000171223	JUNB	2,0454547158	1,48E-86	7,58E-84	2,0335078068	5,12E-81	2,87E-78
ENSG00000163347	CLDN1	2,2729798834	9,87E-23	1,05E-20	2,4949072106	1,73E-27	2,96E-25
ENSG00000181656	GPR88	1,9743808029	1,05E-21	1,07E-19	2,0975113695	4,44E-25	6,99E-23
