Feature_ID	P-value	Fold_change
ENSSSCG00000022701	6,74E-03	22,439
ENSSSCG00000023092	3,46E-03	-3,429
ENSSSCG00000023287	1,77E-03	-12,541
ENSSSCG00000024107	3,22E-03	2,057
ENSSSCG00000024452	2,29E-03	-2,314
ENSSSCG00000025956	3,45E-04	9,585
ENSSSCG00000026492	3,52E-03	3,751
ENSSSCG00000027341	3,01E-04	4,502
ENSSSCG00000028056	6,68E-03	-2,650
ENSSSCG00000028367	1,10E-03	-5,447
ENSSSCG00000028947	6,85E-03	-1,995
ENSSSCG00000029388	4,60E-03	-3,352
ENSSSCG00000029438	1,99E-03	6,913
ENSSSCG00000029773	3,06E-03	-4,644
ENSSSCG00000030310	9,46E-03	-2,730

