Locus	FPKM(9DPA)	FPKM(Control)	Fold_Change	P-value	LOG_FC
c39204_g1	0,6922941532	3,0133891137	0,2297393822	8,75E-06	-0,6387645512
c48811_g2	0,4106713131	6,1852239073	0,0663955451	7,23E-52	-1,1778610591
c42947_g1	12,2096146686	38,7987732529	0,3146907401	6,63E-84	-0,5021160362
c61151_g2	2,2945637807	8,2529400847	0,2780298605	1,00E-49	-0,5559085582
c60887_g2	13,4026268529	47,1207456955	0,2844315525	1,89E-61	-0,5460222282
c42756_g1	7,9160207458	32,0237792548	0,2471919595	3,69E-54	-0,6069656597
c51027_g2	0,6083661232	6,3450357108	0,0958806461	1,05E-53	-1,0182690483
c60185_g2	3,2814911989	12,6488366672	0,2594302769	7,02E-18	-0,5859793408
c49035_g2	2,5161172625	14,2620548587	0,1764203887	4,57E-79	-0,7534512253
c41611_g1	2,78546278	10,846720396	0,2568023032	3,27E-24	-0,5904010855
c46612_g1	12,8478498744	60,7752452381	0,2113993917	4,37E-148	-0,6748962667
c48809_g1	0,4800493252	4,1936386034	0,114470838	8,85E-36	-0,9413051379
c43799_g2	21,6008601926	76,4350354788	0,2826041757	3,62E-163	-0,5488214255
c38929_g1	16,7464143871	65,756390223	0,254673566	1,35E-155	-0,5940161305
c41552_g1	3,3121118923	38,8033845007	0,085356263	9,24E-251	-1,0687646072
c46360_g1	0,3048931545	3,3375965279	0,0913511121	1,52E-21	-1,0392861613
c51973_g1	3,2621908608	13,9097420173	0,2345256193	1,67E-26	-0,6298097086
c43728_g1	1,900752435	16,3371670392	0,1163452899	2,52E-81	-0,934251194
c51577_g1	1,0043732915	4,478423296	0,2242693969	2,17E-10	-0,6492299849
c40345_g1	1,1528580459	6,2420422727	0,1846924445	5,43E-14	-0,7335508706
c45714_g1	5,421846451	18,4414300905	0,2940035791	9,34E-70	-0,5316473826
c44420_g1	1,9272394545	6,3889580408	0,3016516061	1,50E-20	-0,520494358
c46540_g1	11,0726744527	36,0069542874	0,3075148863	4,23E-110	-0,5121338559
c49902_g1	2,3079445546	8,0668964545	0,2861006792	2,77E-37	-0,5434811112
c55118_g1	1,6361258206	15,6329126941	0,1046590519	3,60E-172	-0,9802232039
c50384_g2	3,7998986003	15,2668490108	0,2488986822	8,74E-66	-0,6039774027
c41397_g1	0,6572830939	3,3494568998	0,1962357223	1,45E-08	-0,7072219319
c43308_g1	1,3427122213	5,3489748895	0,2510223452	2,56E-20	-0,6002876173
c56118_g1	19,694525589	65,6148120348	0,300153654	7,56E-66	-0,5226563653
